nl,nl_template,sql,sql_template
What problems did patients given Januvia suffer from,What problems did patients given TREATMENT_1 suffer from,select diagnosis from ADMISSIONS where ADMISSIONS.hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%Januvia%'),select diagnosis from ADMISSIONS where ADMISSIONS.hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%')
What problems did patients given Digoxin suffer from,What problems did patients given TREATMENT_1 suffer from,select diagnosis from ADMISSIONS where ADMISSIONS.hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%Digoxin%'),select diagnosis from ADMISSIONS where ADMISSIONS.hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%')
Which problems are treated with Januvia,Which problems are treated with TREATMENT_1,select diagnosis from ADMISSIONS where ADMISSIONS.hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%Januvia%'),select diagnosis from ADMISSIONS where ADMISSIONS.hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%')
Which problems are treated with Digoxin,Which problems are treated with TREATMENT_1,select diagnosis from ADMISSIONS where ADMISSIONS.hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%Digoxin%'),select diagnosis from ADMISSIONS where ADMISSIONS.hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%')
Which drugs are used to treat Diabetes,Which drugs are used to treat PROBLEM_1,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%'))","select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))"
Which drugs are used to treat heart failure,Which drugs are used to treat PROBLEM_1,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%'))","select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))"
Which drugs are administered to treat Diabetes,Which drugs are administered to treat PROBLEM_1,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%'))","select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))"
Which drugs are administered to treat heart failure,Which drugs are administered to treat PROBLEM_1,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%'))","select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))"
Which treatments are used to cure Diabetes,Which treatments are used to cure PROBLEM_1,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%'))","select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))"
Which treatments are used to cure heart failure,Which treatments are used to cure PROBLEM_1,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%'))","select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))"
Which treatments are used for Diabetes,Which treatments are used for PROBLEM_1,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%'))","select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))"
Which treatments are used for heart failure,Which treatments are used for PROBLEM_1,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%'))","select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))"
Which drugs were Diabetes patients given,Which drugs were PROBLEM_1 patients given,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%'))","select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))"
Which drugs were heart failure patients given,Which drugs were PROBLEM_1 patients given,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%'))","select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))"
Which drugs were patients suffering from Diabetes given,Which drugs were patients suffering from PROBLEM_1 given,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%'))","select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))"
Which drugs were patients suffering from heart failure given,Which drugs were patients suffering from PROBLEM_1 given,"select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%'))","select distinct drug from PRESCRIPTIONS where hadm_id IN(
select distinct hadm_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))"
How many patients were given Tamoxifen and Warfarin,How many patients were given TREATMENT_1 and TREATMENT_2,select count(distinct hadm_id) from PRESCRIPTIONS where drug like '%Tamoxifen%' and hadm_id IN(select distinct hadm_id from PRESCRIPTIONS where drug like '%Warfarin%'),select count(distinct hadm_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and hadm_id IN(select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_2%')
Which patients were given Tamoxifen and Warfarin,Which patients were given TREATMENT_1 and TREATMENT_2,select distinct hadm_id from PRESCRIPTIONS where drug like '%Tamoxifen%' and hadm_id IN(select distinct hadm_id from PRESCRIPTIONS where drug like '%Warfarin%'),select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%' and hadm_id IN(select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_2%')
How many times were Tamoxifen and Warfarin administered together,How many times were TREATMENT_1 and TREATMENT_2 administered together,select count(distinct hadm_id) from PRESCRIPTIONS where drug like '%Tamoxifen%' and hadm_id IN(select distinct hadm_id from PRESCRIPTIONS where drug like '%Warfarin%'),select count(distinct hadm_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and hadm_id IN(select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_2%')
How many times were Tamoxifen and Warfarin given together,How many times were TREATMENT_1 and TREATMENT_2 given together,select count(distinct hadm_id) from PRESCRIPTIONS where drug like '%Tamoxifen%' and hadm_id IN(select distinct hadm_id from PRESCRIPTIONS where drug like '%Warfarin%'),select count(distinct hadm_id) from PRESCRIPTIONS where drug like '%TREATMENT_1%' and hadm_id IN(select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_2%')
How many patients suffering from Diabetes been given Insulin,How many patients suffering from PROBLEM_1 been given TREATMENT_1,"select count(distinct hadm_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%') and hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%Insulin%') 
","select count(distinct hadm_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%') 
"
How many Diabetes patients have been given Insulin,How many PROBLEM_1 patients have been given TREATMENT_1,"select count(distinct hadm_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%') and hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%Insulin%') 
","select count(distinct hadm_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%') 
"
How many Diabetes patients have been administered Insulin,How many PROBLEM_1 patients have been administered TREATMENT_1,"select count(distinct hadm_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%') and hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%Insulin%') 
","select count(distinct hadm_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%') 
"
How many people suffering from Diabetes were treated with Insulin,How many people suffering from PROBLEM_1 were treated with TREATMENT_1,"select count(distinct hadm_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%') and hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%Insulin%') 
","select count(distinct hadm_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%') 
"
How many Diabetes patients were given Insulin,How many PROBLEM_1 patients were given TREATMENT_1,"select count(distinct hadm_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%') and hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%Insulin%') 
","select count(distinct hadm_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%') 
"
How many people with Diabetes were treated with Insulin,How many people with PROBLEM_1 were treated with TREATMENT_1,"select count(distinct hadm_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%') and hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%Insulin%') 
","select count(distinct hadm_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%') 
"
How many people suffering from Diabetes were given Insulin,How many people suffering from PROBLEM_1 were given TREATMENT_1,"select count(distinct hadm_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%') and hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%Insulin%') 
","select count(distinct hadm_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%') 
"
How many people cured from Diabetes were given Insulin,How many people cured from PROBLEM_1 were given TREATMENT_1,"select count(distinct hadm_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%') and hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%Insulin%') 
","select count(distinct hadm_id) from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%') and hadm_id IN (select distinct hadm_id from PRESCRIPTIONS where drug like '%TREATMENT_1%') 
"
How many patients died with Diabetes,How many patients died with PROBLEM_1,select count(distinct subject_id) from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')),select count(distinct subject_id) from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many patients died with heart failure,How many patients died with PROBLEM_1,select count(distinct subject_id) from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')),select count(distinct subject_id) from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
Which patients died with Diabetes,Which patients died with PROBLEM_1,select distinct subject_id from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')),select distinct subject_id from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
Which patients died with heart failure,Which patients died with PROBLEM_1,select distinct subject_id from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')),select distinct subject_id from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many patients expired due to Diabetes,How many patients expired due to PROBLEM_1,select count(distinct subject_id) from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')),select count(distinct subject_id) from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many patients expired due to heart failure,How many patients expired due to PROBLEM_1,select count(distinct subject_id) from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')),select count(distinct subject_id) from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many patients expired because of Diabetes,How many patients expired because of PROBLEM_1,select count(distinct subject_id) from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')),select count(distinct subject_id) from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many patients expired because of heart failure,How many patients expired because of PROBLEM_1,select count(distinct subject_id) from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')),select count(distinct subject_id) from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
Which patients expired due to Diabetes,Which patients expired due to PROBLEM_1,select distinct subject_id from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')),select distinct subject_id from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
Which patients expired due to heart failure,Which patients expired due to PROBLEM_1,select distinct subject_id from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')),select distinct subject_id from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
Which patients expired because of Diabetes,Which patients expired because of PROBLEM_1,select distinct subject_id from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')),select distinct subject_id from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
Which patients expired because of heart failure,Which patients expired because of PROBLEM_1,select distinct subject_id from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')),select distinct subject_id from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many Diabetes patients died,How many PROBLEM_1 patients died,select count(distinct subject_id) from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')),select count(distinct subject_id) from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many heart failure patients died,How many PROBLEM_1 patients died,select count(distinct subject_id) from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')),select count(distinct subject_id) from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
Which Diabetes patients expired,Which PROBLEM_1 patients expired,select distinct subject_id from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')),select distinct subject_id from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
Which heart failure patients expired,Which PROBLEM_1 patients expired,select distinct subject_id from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')),select distinct subject_id from PATIENTS where expire_flag=1 and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many patients died with Diabetes in the hospital,How many patients died with PROBLEM_1 in the hospital,select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')),select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many patients died with heart failure in the hospital,How many patients died with PROBLEM_1 in the hospital,select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')),select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
Which patients died with Diabetes in the hospital,Which patients died with PROBLEM_1 in the hospital,select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')),select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
Which patients died with heart failure in the hospital,Which patients died with PROBLEM_1 in the hospital,select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')),select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many patients expired due to Diabetes in the hospital,How many patients expired due to PROBLEM_1 in the hospital,select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')),select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many patients expired due to heart failure in the hospital,How many patients expired due to PROBLEM_1 in the hospital,select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')),select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many patients expired because of Diabetes in the hospital,How many patients expired because of PROBLEM_1 in the hospital,select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')),select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
